,places,doc_id
482,Aarhus,358
483,Lærlingehjemmet,358
484,Aarhus Kommune,359
485,Aarhus,359
486,Banegaardsgade,360
487,Parken,361
488,Aarhus,363
489,Forstæderne,363
490,Danmark,363
491,Aarhus,363
492,Aarhus,363
493,Kom-munehospitalet,364
494,Amtssygehuset,364
495,Kommunehospitalet,364
496,Kommunehospitalet,364
497,Aarhus,364
498,Aalborg,365
499,Odense,365
500,Esbjerg,365
501,Laan,366
502,Risskov,366
503,Fiskerikajen,367
504,Auktionshallen,367
505,Nordhavnen,367
506,Pier II,367
507,Vinklen,367
508,Nordhavnsterrainet,367
509,Nordhavnsterrainet,367
510,Pier I,367
511,Midtermole,367
512,Københavns Kommune,383
513,Aarhus Købstad,385
514,Stadionallé,388
515,Stadionallé,388
516,Stadionallé,388
517,Stadionallé,388
518,Aalborggade,388
519,Ingerslevs Boulevard,388
520,Stadionallé,388
521,Marselis Boulevard,388
522,Horsensgade,388
523,Marselis Boulevard,389
524,Stadionallé,389
525,Dalgas Avenue,389
526,Vestergaardsgade,389
527,Stadionallé,389
528,Brønden,389
529,Stadionallé,389
530,Aalborggade,389
531,Vestergaardsgade,389
532,Marselis Boulevard,389
533,Odense,391
534,Aalborg,392
535,Finland,395
536,Finland,396
537,Aarhus,396
538,Aarhus Kommune,398
539,Kasernebyggeriet,398
540,Flyvepladsen,398
541,Aarhus,398
542,Riis Skov,399
543,Riis Skov,399
544,Posten,400
545,Aarhus Købstadskommune,400
546,København,401
547,Byen,401
548,Danmarks,401
549,Danmarks,401
550,Englands,401
551,Frankrigets,401
552,Tyskland,401
553,Frankriget,401
554,England,401
555,Tyskland,401
556,England,402
557,Danmarks,402
558,Norges,402
559,Skandinavien,402
560,Nordsjøen,402
561,Farvand,402
562,Norges,402
563,Tyskland,403
564,Danmarks,403
565,Norges,403
566,England,403
567,Skandinavien,403
568,Slagmark,403
569,Danmark,403
570,Norge,403
571,Aarhus Ridehal,408
572,Aarhus,408
573,Aarhus Købstads,409
574,Marselisborg,409
575,Aarhus,409
576,København,409
577,Danebroge,409
578,Ridehallens,410
579,Aarhus,412
580,Nørreallé,412
581,Trangen,413
582,"Ejendommen Banegaardsplads
G,8 og 10.",414
583,Aarhus Kommune,414
584,Aarhus,415
